text,label,category,language,source
Payment of Rs 499 received against your water bill. Receipt number 887312. No action needed.,0,not_scam,en,seed_template
"Thank you for visiting our clinic, Rahul. Report 887312 is ready and can be collected from the reception.",0,not_scam,en,seed_template
"Your payment of Rs 25,000 failed. To receive the refund, send a collect request approval and share the OTP 445120.",1,upi_cashback_collect,en,seed_template
हमारे ट्रेडिंग ग्रुप से जुड़ें और हर महीने पक्का मुनाफ़ा पाएं। सिर्फ़ आज के लिए http://bit.ly/3xKyc9 पर रजिस्टर करें।,1,investment,hi,seed_template
"Work from home job. 2 hours daily, salary Rs 2,000 per day. Join our Telegram group and complete simple tasks. Deposit Rs 999 to unlock tasks.",1,job_task,en,seed_template
Class 12 results are out. Check them on the official board website using roll number 887312.,0,not_scam,en,seed_template
Appointment confirmed at City Hospital on 26 September at 11:00 AM with Dr. Amit. Reference 902344. Please arrive 15 minutes early.,0,not_scam,en,seed_template
"Thank you for visiting our clinic, Meena. Report 902344 is ready and can be collected from the reception.",0,not_scam,en,seed_template
Join our VIP stock group. Our expert's tips gave members 3X returns in 30 days. Guaranteed profit. Only 20 seats left. Pay Rs 499 to join.,1,investment,en,seed_template
"Dear Customer, your KYC has expired and your account will be BLOCKED today. Update now: http://sbi-rewards.xyz",1,kyc_account_block,en,seed_template
"Papa, my phone is broken, this is my new number. I need Rs 999 urgently for a hospital payment. Send it to support.care@ibl.",1,relative_emergency,en,seed_template
Install this APK to check your electricity bill: http://bit.ly/3xKyc9. Only this app works for bill payment now.,1,other_scam,en,seed_template
"Thank you for visiting our clinic, Amit. Report 902344 is ready and can be collected from the reception.",0,not_scam,en,seed_template
बधाई हो! आपका नंबर लकी ड्रॉ में चुना गया है। इनाम पाने के लिए 8890012345 पर कॉल करें।,1,lottery_prize,hi,seed_template
"You have won an Delhivery lucky draw prize. Claim your gift by paying delivery charges of Rs 4,500 at http://sbi-rewards.xyz.",1,lottery_prize,en,seed_template
"Your payment of Rs 10,000 failed. To receive the refund, send a collect request approval and share the OTP 771205.",1,upi_cashback_collect,en,seed_template
"Aapke account se Rs 5,000 debit hue hain. Balance Rs 12,340. Koi kaam karne ki zarurat nahi.",0,not_scam,hinglish,seed_template
Aapka Flipkart order kal shaam tak Rahul ko deliver ho jayega. Dhanyavaad.,0,not_scam,hinglish,seed_template
"Rs 499 credited to your account XX9032 as salary for September 2026. Available balance Rs 62,410.",0,not_scam,en,seed_template
बधाई हो! आपका नंबर लकी ड्रॉ में चुना गया है। इनाम पाने के लिए 9876543221 पर कॉल करें।,1,lottery_prize,hi,seed_template
Your India Post package was delivered to Rahul. Thank you for shopping with us.,0,not_scam,en,seed_template
"Rs 10,000 credited to your account XX9032 as salary for September 2026. Available balance Rs 62,410.",0,not_scam,en,seed_template
Your gas cylinder booking is confirmed. Delivery within 4 days. Booking number 445120.,0,not_scam,en,seed_template
Aapka SBI account band ho jayega. KYC turant update karein http://bit.ly/3xKyc9 par.,1,kyc_account_block,hinglish,seed_template
Aapka OTP 771205 hai. Kisi ke saath share na karein. - SBI,0,not_scam,hinglish,seed_template
"Your payment of Rs 4,500 failed. To receive the refund, send a collect request approval and share the OTP 445120.",1,upi_cashback_collect,en,seed_template
बधाई हो! आपका नंबर लकी ड्रॉ में चुना गया है। इनाम पाने के लिए 9123456780 पर कॉल करें।,1,lottery_prize,hi,seed_template
Join our VIP stock group. Our expert's tips gave members 3X returns in 30 days. Guaranteed profit. Only 20 seats left. Pay Rs 999 to join.,1,investment,en,seed_template
"Invest Rs 5,000 in our trading app and get assured returns of 15% every month. Limited time offer, click http://upi-cashback.vip.",1,investment,en,seed_template
"Aapko Rs 4,500 ka refund mila hai. Paisa lene ke liye UPI PIN daalein aur request accept karein.",1,upi_cashback_collect,hinglish,seed_template
"Work from home job. 4 hours daily, salary Rs 2,000 per day. Join our Telegram group and complete simple tasks. Deposit Rs 25,000 to unlock tasks.",1,job_task,en,seed_template
आपका ओटीपी 902344 है। इसे किसी के साथ साझा न करें।,0,not_scam,hi,seed_template
"Your insurance premium receipt for Rs 49,999 has been emailed to Priya. Policy 771205. No action is needed.",0,not_scam,en,seed_template
हमारे ट्रेडिंग ग्रुप से जुड़ें और हर महीने पक्का मुनाफ़ा पाएं। सिर्फ़ आज के लिए http://loan-approve.site पर रजिस्टर करें।,1,investment,hi,seed_template
Water supply in your area will be closed tomorrow from 9 AM to 12 PM for pipeline repair. Complaints: 9123456780.,0,not_scam,en,seed_template
Payment of Rs 999 received against your water bill. Receipt number 887312. No action needed.,0,not_scam,en,seed_template
Your municipal tax payment of Rs 499 is successful. This is a computer generated receipt.,0,not_scam,en,seed_template
"Your PF passbook has been updated with the employer contribution of Rs 4,500 for August 2026.",0,not_scam,en,seed_template
"Dear Customer, your KYC has expired and your account will be BLOCKED today. Update now: http://bit.ly/3xKyc9",1,kyc_account_block,en,seed_template
"Bina document ke loan Rs 49,999 turant. Abhi apply karein http://india-post-parcel.online aur apna Aadhaar number bhejein.",1,loan_app,hinglish,seed_template
Axis Bank: your new debit card has been dispatched to Meena and will reach you in 5 working days.,0,not_scam,en,seed_template
"आपके नंबर पर आया ओटीपी हमारे अधिकारी को बताएं, वरना सेवा बंद कर दी जाएगी।",1,other_scam,hi,seed_template
"Work from home job. 2 hours daily, salary Rs 5,000 per day. Join our Telegram group and complete simple tasks. Deposit Rs 499 to unlock tasks.",1,job_task,en,seed_template
Appointment confirmed at City Hospital on 26 September at 11:00 AM with Dr. Meena. Reference 902344. Please arrive 15 minutes early.,0,not_scam,en,seed_template
Your Blue Dart package was delivered to Amit. Thank you for shopping with us.,0,not_scam,en,seed_template
आपका खाता आज बंद हो जाएगा। केवाईसी तुरंत अपडेट करें: http://electricity-bill-pay.click,1,kyc_account_block,hi,seed_template
Install this APK to check your electricity bill: http://sbi-rewards.xyz. Only this app works for bill payment now.,1,other_scam,en,seed_template
Punjab National Bank alert: your account is suspended due to incomplete KYC. Complete verification within tonight at http://sbi-rewards.xyz,1,kyc_account_block,en,seed_template
"887312 is your one time password for login. Valid for 10 minutes. Never share it with anyone, including bank staff.",0,not_scam,en,seed_template
"Congratulations! Your number has won Rs 25,00,000 in the KBC lucky draw. Call 6303456789 and pay Rs 499 processing fee to claim.",1,lottery_prize,en,seed_template
Power shutdown notice: supply will be off in your area on Sunday from 10 AM to 1 PM for maintenance work. Helpline 8890012345.,0,not_scam,en,seed_template
Water supply in your area will be closed tomorrow from 9 AM to 12 PM for pipeline repair. Complaints: 8890012345.,0,not_scam,en,seed_template
"Dear parent of Meena, the school will remain closed tomorrow due to heavy rain. Classes resume on Monday.",0,not_scam,en,seed_template
"Delhivery courier: your package is held at customs. Pay Rs 49,999 clearance fee at http://kyc-update-bnk.in within 2 hours.",1,parcel_digital_arrest,en,seed_template
"Instant loan approved! Rs 4,500 credited in 5 minutes, no documents needed. Download the app from http://verify-account.top and share your OTP.",1,loan_app,en,seed_template
"Your train ticket PNR 902344 is confirmed. Coach S4, seat 42. Happy journey, Sunita.",0,not_scam,en,seed_template
"Your loan EMI of Rs 2,000 has been processed successfully for this month. No action needed.",0,not_scam,en,seed_template
Appointment confirmed at City Hospital on 26 September at 11:00 AM with Dr. Meena. Reference 445120. Please arrive 15 minutes early.,0,not_scam,en,seed_template
"Your train ticket PNR 445120 is confirmed. Coach S4, seat 42. Happy journey, Vikram.",0,not_scam,en,seed_template
"Your loan EMI of Rs 49,999 has been processed successfully for this month. No action needed.",0,not_scam,en,seed_template
Aapka India Post order kal shaam tak Meena ko deliver ho jayega. Dhanyavaad.,0,not_scam,hinglish,seed_template
"Aapka Rs 5,000 ka bill payment mil gaya hai. Receipt number 771205. Dhanyavaad.",0,not_scam,hinglish,seed_template
"Ghar baithe kaam karein, roz Rs 999 kamayein. Registration fee Rs 499 jama karein, HR se WhatsApp par baat karein 6303456789.",1,job_task,hinglish,seed_template
Bijli connection aaj raat 9:30 PM par kaat diya jayega. Turant officer 7012345689 ko call karein.,1,electricity_bill,hinglish,seed_template
"Your loan EMI of Rs 4,500 has been processed successfully for this month. No action needed.",0,not_scam,en,seed_template
Your loan EMI of Rs 499 has been processed successfully for this month. No action needed.,0,not_scam,en,seed_template
"445120 is your one time password for login. Valid for 10 minutes. Never share it with anyone, including bank staff.",0,not_scam,en,seed_template
"Congratulations! You are selected for a part-time job. Earn Rs 49,999 daily by liking YouTube videos. Pay Rs 499 registration fee to start.",1,job_task,en,seed_template
"Papa, my phone is broken, this is my new number. I need Rs 999 urgently for a hospital payment. Send it to winner2026@ybl.",1,relative_emergency,en,seed_template
"Payment of Rs 4,500 done, screenshot attached. Please deliver the order, the amount will reflect in 3 hours.",1,fake_payment,en,seed_template
"Thank you Priya. Your bill payment of Rs 49,999 through the official app was successful.",0,not_scam,en,seed_template
"Aapka Rs 10,000 ka bill payment mil gaya hai. Receipt number 771205. Dhanyavaad.",0,not_scam,hinglish,seed_template
"Dear consumer, your electricity connection will be disconnected tonight at 8:30 PM as your last bill was not updated. Call officer 7012345689 immediately.",1,electricity_bill,en,seed_template
"आपका बिजली बिल 499 रुपये का है, अंतिम तारीख 28 सितंबर। कृपया आधिकारिक ऐप से भुगतान करें।",0,not_scam,hi,seed_template
Aapka Flipkart order kal shaam tak Amit ko deliver ho jayega. Dhanyavaad.,0,not_scam,hinglish,seed_template
"Your insurance premium receipt for Rs 5,000 has been emailed to Amit. Policy 771205. No action is needed.",0,not_scam,en,seed_template
"Thank you Sunita. Your bill payment of Rs 4,500 through the official app was successful.",0,not_scam,en,seed_template
"India Post courier: your package is held at customs. Pay Rs 25,000 clearance fee at http://upi-cashback.vip within tonight.",1,parcel_digital_arrest,en,seed_template
बधाई हो! आपका नंबर लकी ड्रॉ में चुना गया है। इनाम पाने के लिए 7012345689 पर कॉल करें।,1,lottery_prize,hi,seed_template
Rs 499 cashback received! Accept the request and enter your UPI PIN to claim it now.,1,upi_cashback_collect,en,seed_template
Your Blue Dart package was delivered to Sunita. Thank you for shopping with us.,0,not_scam,en,seed_template
Aapka OTP 902344 hai. Kisi ke saath share na karein. - HDFC Bank,0,not_scam,hinglish,seed_template
"Congratulations! Your number has won Rs 25,00,000 in the KBC lucky draw. Call 9876543221 and pay Rs 2,000 processing fee to claim.",1,lottery_prize,en,seed_template
"Rs 2,000 debited from A/c XX4412 on 12-09-26 to Rahul. Not you? Call HDFC Bank customer care on the number printed on your card.",0,not_scam,en,seed_template
"We have received your Bank of Baroda credit card payment of Rs 4,500. Thank you.",0,not_scam,en,seed_template
Axis Bank: your new debit card has been dispatched to Priya and will reach you in 5 working days.,0,not_scam,en,seed_template
"Congratulations! You are selected for a part-time job. Earn Rs 2,000 daily by liking YouTube videos. Pay Rs 499 registration fee to start.",1,job_task,en,seed_template
आपका खाता आज बंद हो जाएगा। केवाईसी तुरंत अपडेट करें: http://upi-cashback.vip,1,kyc_account_block,hi,seed_template
Punjab National Bank alert: your account is suspended due to incomplete KYC. Complete verification within 24 hours at http://kyc-update-bnk.in,1,kyc_account_block,en,seed_template
"Sir, I sent Rs 499 to your number by mistake. Please return it to rahul.verma@okaxis. Screenshot attached.",1,fake_payment,en,seed_template
Bijli connection aaj raat 6 PM today par kaat diya jayega. Turant officer 9876543221 ko call karein.,1,electricity_bill,hinglish,seed_template
Your booking at Hotel Meera for 2 nights is confirmed under Meena. Booking id 771205. Check-in 2 PM on 30 September.,0,not_scam,en,seed_template
"Papa, my phone is broken, this is my new number. I need Rs 4,500 urgently for a hospital payment. Send it to winner2026@ybl.",1,relative_emergency,en,seed_template
Bijli connection aaj raat 8:30 PM par kaat diya jayega. Turant officer 6303456789 ko call karein.,1,electricity_bill,hinglish,seed_template
आपका ओटीपी 887312 है। इसे किसी के साथ साझा न करें।,0,not_scam,hi,seed_template
"Invest Rs 5,000 in our trading app and get assured returns of 15% every month. Limited time offer, click http://india-post-parcel.online.",1,investment,en,seed_template
Your mobile recharge of Rs 499 is successful. Validity 28 days. Enjoy unlimited calls.,0,not_scam,en,seed_template
Aapka Rs 999 ka bill payment mil gaya hai. Receipt number 771205. Dhanyavaad.,0,not_scam,hinglish,seed_template
"Invest Rs 49,999 in our trading app and get assured returns of 15% every month. Limited time offer, click http://verify-account.top.",1,investment,en,seed_template
Your PF passbook has been updated with the employer contribution of Rs 999 for August 2026.,0,not_scam,en,seed_template
"Ghar baithe kaam karein, roz Rs 5,000 kamayein. Registration fee Rs 499 jama karein, HR se WhatsApp par baat karein 9876543221.",1,job_task,hinglish,seed_template
"Your train ticket PNR 445120 is confirmed. Coach S4, seat 42. Happy journey, Priya.",0,not_scam,en,seed_template
"BHIM reward: you have won Rs 49,999. Scan the QR and enter your PIN to receive the money in your account.",1,upi_cashback_collect,en,seed_template
Aapka OTP 887312 hai. Kisi ke saath share na karein. - Axis Bank,0,not_scam,hinglish,seed_template
"Crypto trading se roz ka profit! Guaranteed return, koi risk nahi. Abhi http://verify-account.top par register karein.",1,investment,hinglish,seed_template
"Instant loan approved! Rs 49,999 credited in 5 minutes, no documents needed. Download the app from http://verify-account.top and share your OTP.",1,loan_app,en,seed_template
Axis Bank alert: your account is suspended due to incomplete KYC. Complete verification within 2 hours at http://india-post-parcel.online,1,kyc_account_block,en,seed_template
Your gas cylinder booking is confirmed. Delivery within 3 days. Booking number 902344.,0,not_scam,en,seed_template
Power shutdown notice: supply will be off in your area on Sunday from 10 AM to 1 PM for maintenance work. Helpline 6303456789.,0,not_scam,en,seed_template
"902344 is your one time password for login. Valid for 10 minutes. Never share it with anyone, including bank staff.",0,not_scam,en,seed_template
"Delhivery courier: your package is held at customs. Pay Rs 5,000 clearance fee at http://verify-account.top within 24 hours.",1,parcel_digital_arrest,en,seed_template
HDFC Bank: your new debit card has been dispatched to Priya and will reach you in 5 working days.,0,not_scam,en,seed_template
We have received your SBI credit card payment of Rs 499. Thank you.,0,not_scam,en,seed_template
"Papa, my phone is broken, this is my new number. I need Rs 5,000 urgently for a hospital payment. Send it to refund.help@paytm.",1,relative_emergency,en,seed_template
Punjab National Bank: your new debit card has been dispatched to Sunita and will reach you in 5 working days.,0,not_scam,en,seed_template
"Payment of Rs 4,500 done, screenshot attached. Please deliver the order, the amount will reflect in 2 hours.",1,fake_payment,en,seed_template
Install this APK to check your electricity bill: http://kyc-update-bnk.in. Only this app works for bill payment now.,1,other_scam,en,seed_template
"Aapka Rs 49,999 ka bill payment mil gaya hai. Receipt number 445120. Dhanyavaad.",0,not_scam,hinglish,seed_template
You have won an Blue Dart lucky draw prize. Claim your gift by paying delivery charges of Rs 499 at http://verify-account.top.,1,lottery_prize,en,seed_template
Your Blue Dart order has been shipped and will arrive today between 2 PM and 6 PM. Track it in the app.,0,not_scam,en,seed_template
Your Paytm account will be closed for suspicious activity. Verify with the OTP 445120 that our officer sends you now.,1,other_scam,en,seed_template
Electricity bill pending. Power supply will be cut 2 hours. Pay Rs 999 now at http://verify-account.top or call 7012345689.,1,electricity_bill,en,seed_template
"HR here from a hiring company. Your resume is shortlisted for online data entry. Pay a refundable security deposit of Rs 25,000 to get your ID.",1,job_task,en,seed_template
"Dear user, your net banking will be deactivated tonight. Verify your details here http://india-post-parcel.online and share the OTP with our executive.",1,kyc_account_block,en,seed_template
"Electricity bill pending. Power supply will be cut 2 hours. Pay Rs 5,000 now at http://bit.ly/3xKyc9 or call 6303456789.",1,electricity_bill,en,seed_template
You have won an Amazon lucky draw prize. Claim your gift by paying delivery charges of Rs 999 at http://india-post-parcel.online.,1,lottery_prize,en,seed_template
"BHIM reward: you have won Rs 10,000. Scan the QR and enter your PIN to receive the money in your account.",1,upi_cashback_collect,en,seed_template
"आपका बिजली बिल 2,000 रुपये का है, अंतिम तारीख 28 सितंबर। कृपया आधिकारिक ऐप से भुगतान करें।",0,not_scam,hi,seed_template
"Dear Customer, your KYC has expired and your account will be BLOCKED today. Update now: http://kyc-update-bnk.in",1,kyc_account_block,en,seed_template
Aapka Punjab National Bank account band ho jayega. KYC turant update karein http://india-post-parcel.online par.,1,kyc_account_block,hinglish,seed_template
आपका ओटीपी 771205 है। इसे किसी के साथ साझा न करें।,0,not_scam,hi,seed_template
Your electricity bill of Rs 999 for August is due on 28-09-2026. Pay through your provider's official app or website.,0,not_scam,en,seed_template
Your booking at Hotel Meera for 2 nights is confirmed under Rahul. Booking id 902344. Check-in 2 PM on 30 September.,0,not_scam,en,seed_template
"आपकी ट्रेन टिकट कन्फर्म हो गई है। पीएनआर 445120, कोच एस4। यात्रा शुभ हो, Rahul।",0,not_scam,hi,seed_template
"Electricity bill pending. Power supply will be cut 2 hours. Pay Rs 10,000 now at http://sbi-rewards.xyz or call 6303456789.",1,electricity_bill,en,seed_template
"Ghar baithe kaam karein, roz Rs 1,999 kamayein. Registration fee Rs 499 jama karein, HR se WhatsApp par baat karein 9876543221.",1,job_task,hinglish,seed_template
